id,name,recipe_url
3025,Sweet Caisata,/cocktail/sweet-caisata
3026,Swipe,/cocktail/swipe
3027,T.O.C.(O.C.D.),/cocktail/tococd
3028,Tahitian Equinox,/cocktail/tahitian-equinox
3029,Tainted Love,/cocktail/tainted-love
3030,Tainted Love (Frederic Yarm),/cocktail/tainted-love-frederic-yarm
3031,Take on Me,/cocktail/take-me
3032,Talisman,/cocktail/talisman
3033,Tangerine Dream,/cocktail/tangerine-dream
3034,Tanglin Club,/cocktail/tanglin-club
3035,Take 5,/cocktail/take-5
3036,Talbott Leaf,/cocktail/talbott-leaf
3037,Tallahassee,/cocktail/tallahassee
3038,Tanglewood Ranch,/cocktail/tanglewood-ranch
3039,Tantric Moped,/cocktail/tantric-moped
3040,Tantris Sidecar,/cocktail/tantris-sidecar
3041,Tastes Foundations,/cocktail/tastes-foundations
3042,Taylor Precedent,/cocktail/taylor-precedent
3043,TBD (Thai Basil Daiquiri),/cocktail/tbd-thai-basil-daiquiri
3044,Tea Tree Sour2,/cocktail/tea-tree-sour2
3045,Tarzan,/cocktail/tarzan
3046,Tatooine Sunset,/cocktail/tatooine-sunset
3047,Tazza di Vita,/cocktail/tazza-di-vita
3048,Tea and Krampus,/cocktail/tea-and-krampus
3049,Teenage Riot,/cocktail/teenage-riot
3050,Teeth of the Puma,/cocktail/teeth-puma
3051,Tempest,/cocktail/tempest-0
3052,Tempus Fugit Fizz,/cocktail/tempus-fugit-fizz
3053,Tequila Amargo,/cocktail/tequila-amargo
3054,Tequila Mockingbird (altered),/cocktail/tequila-mockingbird-altered
3055,Tellicherry Chilicherry,/cocktail/tellicherry-chilicherry
3056,The Tempest,/cocktail/tempest
3057,Ten Month Anniversary,/cocktail/ten-month-anniversary
3058,Tequila Dart,/cocktail/tequila-dart
3059,Tequila Sunrise (revamped),/cocktail/tequila-sunrise-revamped
3060,Teresa,/cocktail/teresa
3061,Teresa No. 5,/cocktail/teresa-no-5
3062,Terra Firma,/cocktail/terra-firma
3063,Tertulia,/cocktail/tertulia
3064,Tessmanian Devil,/cocktail/tessmanian-devil
3065,Teresa 2,/cocktail/teresa-2
3066,Terminus,/cocktail/terminus
3067,Terra Verde,/cocktail/terra-verde
3068,El Tesoro de Jerez,/cocktail/el-tesoro-de-jerez
3069,Test Pilot,/cocktail/test-pilot
3070,Tetanus,/cocktail/tetanus
3071,Thai Boxer,/cocktail/thai-boxer
3072,Thank Me Later,/cocktail/thank-me-later
3073,That's So Meta,/cocktail/thats-so-meta
3074,That Voodoo That Yuzu,/cocktail/voodoo-yuzu
3075,Texas Star Margarita,/cocktail/texas-star-margarita
3076,Thai cooler,/cocktail/thai-cooler
3077,That's Amore,/cocktail/thats-amore
3078,That Time in Guadalajara,/cocktail/time-guadalajara
3079,THC,/cocktail/thc
3080,Theobroma,/cocktail/theobroma
3081,There's Always Money in the Banana Stand,/cocktail/theres-always-money-banana-stand
3082,Thin Mint Stinger,/cocktail/thin-mint-stinger
3083,Third Day on the Slopes,/cocktail/third-day-slopes
3084,Third Ward Zombie,/cocktail/third-ward-zombie
3085,There's a Road-Snake On Your Hammie,/cocktail/theres-road-snake-your-hammie
3086,Thin Mint,/cocktail/thin-mint
3087,The Thing That Should Not Be,/cocktail/thing-should-not-be
3088,Third Shot Drop,/cocktail/third-shot-drop
3089,This is Not Berlin,/cocktail/not-berlin
3090,Thou Shall Not be Named,/cocktail/thou-shall-not-be-named
3091,A Thousand Blue Eyes,/cocktail/thousand-blue-eyes
3092,Three Dots and a Dash,/cocktail/three-dots-and-a-dash
3093,Three Scots and a Dash,/cocktail/three-scots-and-dash
3094,The Thunderdome,/cocktail/thunderdome
3095,Thoughts & Pears,/cocktail/thoughts-pears
3096,Three Bitters,/cocktail/three-bitters
3097,Three-Rum Old Fashioned (Franklin Mortgage & Investment Co),/cocktail/three-rum-old-fashioned-franklin-mortgage-investment-co
3098,Thrust and Parry,/cocktail/thrust-and-parry
3099,Thyme Machine,/cocktail/thyme-machine
3100,Thyme and Thyme Again,/cocktail/thyme-and-thyme-again
3101,Tia Mia,/cocktail/tia-mia
3102,Tidbit,/cocktail/tidbit
3103,Tiger Lily,/cocktail/tiger-lily
3104,Tigress of Forli,/cocktail/tigress-forli
3105,Thymely Gibson Martini,/cocktail/thymely-gibson-martini
3106,The Ticket that Exploded,/cocktail/ticket-exploded
3107,Ties That Bind,/cocktail/ties-bind
3108,Tiger Stripe,/cocktail/tiger-stripe
3109,Tijuana Lady,/cocktail/tijuana-lady
